binomio,class,family,invasora,habitat,registros,zonas,nombre_comun
Limnobium laevigatum,Liliopsida,Hydrocharitaceae,False,freshwater,40,6,
Oenothera rosea,Magnoliopsida,Onagraceae,True,terrestrial,39,7,
Medicago lupulina,Magnoliopsida,Fabaceae,True,terrestrial,39,9,
Tanacetum parthenium,Magnoliopsida,Asteraceae,False,terrestrial,39,12,
Borago officinalis,Magnoliopsida,Boraginaceae,True,terrestrial,38,11,
Bombus ruderatus,Insecta,Apidae,True,terrestrial,38,15,
Salix babylonica,Magnoliopsida,Salicaceae,False,terrestrial,37,13,sauce llorón
Phoracantha semipunctata,Insecta,Cerambycidae,False,terrestrial,36,8,
Anthriscus caucalis,Magnoliopsida,Apiaceae,True,terrestrial,36,5,
Calendula officinalis,Magnoliopsida,Asteraceae,True,terrestrial,36,12,
Centaurea solstitialis,Magnoliopsida,Asteraceae,True,terrestrial,35,2,
Galium aparine,Magnoliopsida,Rubiaceae,False,terrestrial,35,12,
Chenopodium album,Magnoliopsida,Chenopodiaceae,True,terrestrial,35,9,
Acacia karroo,Magnoliopsida,Fabaceae,False,terrestrial,35,7,
Malva parviflora,Magnoliopsida,Malvaceae,True,terrestrial,35,10,
Equus caballus,Mammalia,Equidae,False,terrestrial,35,14,
Bidens aurea,Magnoliopsida,Asteraceae,False,terrestrial,34,12,
Mirabilis jalapa,Magnoliopsida,Nyctaginaceae,False,terrestrial,34,9,
Rapistrum rugosum,Magnoliopsida,Brassicaceae,True,terrestrial,33,7,
Briza maxima,Liliopsida,Poaceae,True,terrestrial,33,7,
Daucus carota,Magnoliopsida,Apiaceae,False,terrestrial,33,7,
Medicago polymorpha,Magnoliopsida,Fabaceae,False,terrestrial,33,9,hualputra
Oxalis articulata,Magnoliopsida,Oxalidaceae,True,terrestrial,33,10,
Oxalis corniculata,Liliopsida,Oxalidaceae,False,terrestrial,33,10,
Zantedeschia aethiopica,Liliopsida,Araceae,False,terrestrial|freshwater,32,13,
Xanthium catharticum,Magnoliopsida,Asteraceae,False,terrestrial,31,9,
Euphorbia helioscopia,Magnoliopsida,Euphorbiaceae,False,terrestrial,30,6,
Parietaria judaica,Magnoliopsida,Urticaceae,True,terrestrial,30,6,
Cynoglossum creticum,Magnoliopsida,Boraginaceae,False,terrestrial,28,5,
Hypericum androsaemum,Magnoliopsida,Hypericaceae,False,terrestrial,27,7,
Chamomilla recutita,Magnoliopsida,Asteraceae,True,terrestrial,27,8,
Linum bienne,Magnoliopsida,Linaceae,False,terrestrial,27,7,
Sisymbrium irio,Magnoliopsida,Brassicaceae,False,terrestrial,27,4,
Rumex acetosella,Magnoliopsida,Polygonaceae,False,terrestrial,27,9,
Lamarckia aurea,Liliopsida,Poaceae,False,terrestrial,27,7,
Parentucellia viscosa,Magnoliopsida,Orobanchaceae,False,terrestrial,27,10,
Centaurea melitensis,Magnoliopsida,Asteraceae,True,terrestrial,26,3,
Cyperus eragrostis,Liliopsida,Cyperaceae,False,terrestrial|freshwater,26,5,
Polygonum aviculare,Magnoliopsida,Polygonaceae,False,terrestrial,25,6,
Mentha pulegium,Magnoliopsida,Lamiaceae,True,terrestrial,25,8,
Hypericum perforatum,Magnoliopsida,Hypericaceae,True,terrestrial,25,6,
Chenopodium murale,Liliopsida,Chenopodiaceae,True,terrestrial,25,9,
