zona,speciesKey,registros
Antofagasta,2434333,2
Antofagasta,5373358,2
Antofagasta,2706242,1
Antofagasta,2965201,1
Antofagasta,2971016,1
Antofagasta,3084839,1
Antofagasta,4129708,1
Antofagasta,2484396,21
Antofagasta,2479407,12
Antofagasta,5231190,12
Antofagasta,2928783,8
Antofagasta,3189767,2
Antofagasta,1114140,1
Antofagasta,1325561,1
Antofagasta,5289917,1
Antofagasta,5290149,1
Antofagasta,7429082,1
Antofagasta,5289919,1
Antofagasta,5358748,2
Antofagasta,1323402,1
Antofagasta,2443002,1
Antofagasta,2889934,1
Temuco,2979000,17
Temuco,1340503,15
Temuco,2979474,14
Temuco,3120060,6
Temuco,8184903,5
Temuco,1340383,2
Temuco,2876213,2
Temuco,2926110,2
Temuco,5391802,2
Temuco,2865100,1
Temuco,5414976,1
Temuco,8971274,1
Temuco,5858758,27
Temuco,5228080,9
Temuco,5392252,7
Temuco,2495414,6
Temuco,2480830,4
Temuco,3034807,4
Temuco,5391480,4
Temuco,3112801,3
Temuco,5219173,3
Temuco,2702793,1
Temuco,2703723,1
Temuco,2928390,1
Temuco,5375388,1
Temuco,8200663,1
Temuco,9751099,1
Temuco,4989904,40
Temuco,2925892,16
Temuco,2888380,9
Temuco,2925895,5
Temuco,3034922,5
Temuco,2435035,4
Temuco,5414995,4
Temuco,2913548,3
Temuco,3034742,3
Temuco,3066386,3
Temuco,5354707,3
Temuco,2888816,2
Temuco,2928751,2
Temuco,2975667,2
Temuco,9419993,2
Temuco,2705308,1
Temuco,2890040,1
Temuco,2890668,1
Temuco,2891488,1
Temuco,3066367,1
Temuco,3066965,1
Temuco,3172358,1
Temuco,3176787,1
Temuco,5334218,1
Temuco,1316908,6
Temuco,3189486,6
Temuco,2963807,5
Temuco,2965527,4
Temuco,3134857,4
Temuco,5384741,4
Temuco,8338793,3
Temuco,2434333,1
Temuco,2873896,1
Temuco,2927189,1
Temuco,2928576,1
Temuco,2965201,1
Temuco,5341501,1
Temuco,7886346,1
