speciesKey,nombre_gbif,lat,lon,anio,region_gbif,licencia,foto_url,gbif_id
2925895,Echium plantagineum,-37.714481,-72.250371,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/651155685/original.jpg,6253313081
2925895,Echium plantagineum,-36.803657,-73.177642,2026,Bío-Bío,http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/651748645/original.jpg,6252555469
2443002,Trachemys scripta,-32.501299,-71.435927,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/609810265/original.jpg,6130354349
2443002,Trachemys scripta,-36.812962,-73.068863,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/610500418/original.jpg,6130545407
2443002,Trachemys scripta,-33.413612,-70.614137,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606091167/original.jpg,6130831201
8200663,Cymbalaria muralis,-33.433316,-70.620952,2026,Región Metropolitana de Santiago,http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/612002190/original.jpg,6273985641
8200663,Cymbalaria muralis,-33.041209,-71.627528,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/619917311/original.jpg,6170906225
8200663,Cymbalaria muralis,-36.824272,-73.05938,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/633114671/original.jpg,6188241740
2951984,Ulex europaeus,-41.291068,-72.979342,2026,Los Lagos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/609207303/original.jpg,6130708405
2951984,Ulex europaeus,-42.940067,-72.722558,2026,Los Lagos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606983028/original.jpg,6130904971
2951984,Ulex europaeus,-41.533306,-73.126086,2026,Los Lagos,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/611267297/original.jpg,6133236470
5325855,Amaryllis belladonna,-36.82177,-72.989228,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/608958902/original.jpg,6131041235
5325855,Amaryllis belladonna,-34.745557,-71.060325,2026,Libertador General Bernardo O'Higgins,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/611221710/original.jpg,6133055429
5325855,Amaryllis belladonna,-32.552717,-71.463517,2026,Valparaíso,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/612695049/original.jpg,6133349941
2925892,Echium vulgare,-38.51231,-71.88088,2026,Araucanía,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/607538776/original.jpg,6130184352
2925892,Echium vulgare,-36.904716,-71.483659,2026,Bío-Bío,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606892179/original.jpg,6130326350
2925892,Echium vulgare,-36.801287,-71.731912,2026,Bío-Bío,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/607900446/original.jpg,6130460286
2434333,Lycalopex gymnocercus,-52.495278,-69.520272,2026,Magallanes y Antártica Chilena,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/605070756/original.jpg,5938638044
2434333,Lycalopex gymnocercus,-52.771635,-69.28467,2026,Magallanes y Antártica Chilena,http://creativecommons.org/licenses/by/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/604916884/original.jpg,5938682037
2434333,Lycalopex gymnocercus,-29.316511,-71.244275,2026,Coquimbo,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://inaturalist-open-data.s3.amazonaws.com/photos/606254625/original.jpg,6130615397
